Accuracy_LR,Accuracy_SVM,Accuracy_RF,Accuracy_Voting,Accuracy_Stacking,Balanced_Accuracy_LR,Balanced_Accuracy_SVM,Balanced_Accuracy_RF,Balanced_Accuracy_Voting,Balanced_Accuracy_Stacking,Precision_LR,Precision_SVM,Precision_RF,Precision_Voting,Precision_Stacking,Recall_LR,Recall_SVM,Recall_RF,Recall_Voting,Recall_Stacking,F1_LR,F1_SVM,F1_RF,F1_Voting,F1_Stacking,ROC_AUC_LR,ROC_AUC_SVM,ROC_AUC_RF,ROC_AUC_Voting,ROC_AUC_Stacking,MCC_LR,MCC_SVM,MCC_RF,MCC_Voting,MCC_Stacking
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 1.         0.9047619  1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95238095 0.9047619  0.95       1.         0.9
 1.         0.9        1.         0.85      ]","[1.         1.         0.95238095 1.         1.         0.95
 1.         1.         1.         1.        ]","[1.        1.        0.9047619 1.        1.        0.95      1.
 1.        1.        1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.8        1.         0.83333333 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.9        0.83333333 0.98214286 1.         0.75
 1.         0.6        1.         0.68461538]","[1.         1.         0.91666667 1.         1.         0.875
 1.         1.         1.         1.        ]","[1.         1.         0.83333333 1.         1.         0.875
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.90793651 1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95555556 0.91666667 0.96666667 1.         0.9125
 1.         0.8125     1.         0.80714286]","[1.         1.         0.95555556 1.         1.         0.95333333
 1.         1.         1.         1.        ]","[1.         1.         0.91666667 1.         1.         0.95333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 1.         0.9047619  1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95238095 0.9047619  0.95       1.         0.9
 1.         0.9        1.         0.85      ]","[1.         1.         0.95238095 1.         1.         0.95
 1.         1.         1.         1.        ]","[1.        1.        0.9047619 1.        1.        0.95      1.
 1.        1.        1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.92939245 1.         0.88412698 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.94526546 0.88412698 0.95407407 1.         0.88666667
 1.         0.85333333 1.         0.82777778]","[1.         1.         0.94844007 1.         1.         0.94252874
 1.         1.         1.         1.        ]","[1.         1.         0.88412698 1.         1.         0.94252874
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],"[1.         1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.91013563 1.         0.81869114 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.91028099 0.81869114 0.90773759 1.         0.7863571
 1.         0.78802437 1.         0.71363147]","[1.         1.         0.90881098 1.         1.         0.89622143
 1.         1.         1.         1.        ]","[1.         1.         0.81869114 1.         1.         0.89622143
 1.         1.         1.         1.        ]"
"[0.95238095 1.         1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.9047619  0.9047619  0.95238095 1.         1.         0.95
 0.85       0.95       0.9        0.9       ]","[0.95238095 0.9047619  0.9047619  0.95       0.95       0.95
 0.85       0.95       0.9        0.85      ]","[0.95238095 0.95238095 1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.95238095 0.95238095 1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.98571429 1.         1.         1.         1.         1.
 0.88571429 1.         0.9        0.9       ]","[0.7        0.7        0.91666667 1.         1.         0.875
 0.68571429 0.8        0.7        0.7       ]","[0.8        0.7        0.83333333 0.875      0.875      0.875
 0.68571429 0.8        0.7        0.6       ]","[0.98571429 0.9        1.         1.         1.         1.
 0.88571429 1.         0.9        0.9       ]","[0.98571429 0.9        1.         1.         1.         1.
 0.88571429 1.         0.9        0.9       ]","[0.96825397 1.         1.         1.         1.         1.
 0.925      1.         0.95333333 0.95357143]","[0.86904762 0.86904762 0.95555556 1.         1.         0.95333333
 0.83166667 0.90333333 0.8625     0.86333333]","[0.92063492 0.86904762 0.91666667 0.95333333 0.95333333 0.95333333
 0.83166667 0.90333333 0.8625     0.828125  ]","[0.96825397 0.95555556 1.         1.         1.         1.
 0.925      1.         0.95333333 0.95357143]","[0.96825397 0.95555556 1.         1.         1.         1.
 0.925      1.         0.95333333 0.95357143]","[0.95238095 1.         1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.9047619  0.9047619  0.95238095 1.         1.         0.95
 0.85       0.95       0.9        0.9       ]","[0.95238095 0.9047619  0.9047619  0.95       0.95       0.95
 0.85       0.95       0.9        0.85      ]","[0.95238095 0.95238095 1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.95238095 0.95238095 1.         1.         1.         1.
 0.9        1.         0.95       0.95      ]","[0.95626102 1.         1.         1.         1.         1.
 0.9        1.         0.94252874 0.94259259]","[0.87619048 0.87619048 0.94844007 1.         1.         0.94252874
 0.82758621 0.92586207 0.87       0.8702381 ]","[0.93333333 0.87619048 0.88412698 0.94252874 0.94252874 0.94252874
 0.82758621 0.92586207 0.87       0.81609195]","[0.95626102 0.94526546 1.         1.         1.         1.
 0.9        1.         0.94252874 0.94259259]","[0.95626102 0.94526546 1.         1.         1.         1.
 0.9        1.         0.94252874 0.94259259]","[1.         1.                nan        nan        nan        nan
 0.98412698 1.         1.         1.        ]","[0.98861439 1.                nan        nan        nan        nan
 0.97063492 1.         1.         1.        ]","[1.         1.                nan        nan        nan        nan
 0.97063492 1.         1.         1.        ]","[1.         1.                nan        nan        nan        nan
 0.98412698 1.         1.         1.        ]","[0.99795918 1.                nan        nan        nan        nan
 0.96507937 1.         1.         0.97222222]","[0.91863717 1.         1.         1.         1.         1.
 0.79896907 1.         0.89734513 0.9093111 ]","[0.81655157 0.81655157 0.90881098 1.         1.         0.89622143
 0.67983719 0.8971622  0.78840488 0.81479697]","[0.913078   0.81655157 0.81869114 0.89622143 0.89622143 0.89622143
 0.67983719 0.8971622  0.78840488 0.71491415]","[0.91863717 0.91028099 1.         1.         1.         1.
 0.79896907 1.         0.89734513 0.9093111 ]","[0.91863717 0.91028099 1.         1.         1.         1.
 0.79896907 1.         0.89734513 0.9093111 ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.95238095 1.         1.         1.         1.
 1.         1.         0.9        1.        ]","[0.95238095 0.9047619  1.         1.         0.95       0.95
 1.         1.         0.95       0.95      ]",[1.   1.   1.   1.   0.95 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.95 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.  0.9 1.  1.  1.  1.  1.  1.  0.7 1. ],[0.9   0.7   1.    1.    0.875 0.875 1.    1.    0.9   0.9  ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1.    1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.95555556 1.         1.         1.         1.
 1.         1.         0.8625     1.        ]","[0.95555556 0.86904762 1.         1.         0.95333333 0.95333333
 1.         1.         0.95333333 0.95357143]","[1.         1.         1.         1.         0.95333333 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.95333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.95238095 1.         1.         1.         1.
 1.         1.         0.9        1.        ]","[0.95238095 0.9047619  1.         1.         0.95       0.95
 1.         1.         0.95       0.95      ]",[1.   1.   1.   1.   0.95 1.   1.   1.   1.   1.  ],[1.   1.   1.   1.   0.95 1.   1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.94526546 1.         1.         1.         1.
 1.         1.         0.87       1.        ]","[0.94526546 0.87619048 1.         1.         0.94252874 0.94252874
 1.         1.         0.94252874 0.94259259]","[1.         1.         1.         1.         0.94252874 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.94252874 1.
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         0.91028099 1.         1.         1.         1.
 1.         1.         0.78840488 1.        ]","[0.91028099 0.81655157 1.         1.         0.89622143 0.89622143
 1.         1.         0.89734513 0.9093111 ]","[1.         1.         1.         1.         0.89622143 1.
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         0.89622143 1.
 1.         1.         1.         1.        ]"
[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.95],"[0.95238095 1.         1.         1.         1.         0.95
 1.         0.95       0.95       0.95      ]","[0.95238095 0.9047619  1.         0.9        1.         0.95
 0.95       1.         1.         0.85      ]","[0.95238095 1.         1.         1.         1.         0.95
 1.         1.         1.         0.95      ]",[1.   1.   1.   1.   1.   0.95 1.   1.   1.   0.95],[1.  1.  1.  1.  1.  1.  1.  1.  1.  0.9],[0.9   1.    1.    1.    1.    0.875 1.    0.8   0.8   0.9  ],[0.9   0.7   1.    0.75  1.    0.875 0.8   1.    1.    0.6  ],[0.9   1.    1.    1.    1.    0.875 1.    1.    1.    0.9  ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    0.9  ],"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.95357143]","[0.95555556 1.         1.         1.         1.         0.95333333
 1.         0.90333333 0.90333333 0.95357143]","[0.95555556 0.86904762 1.         0.9125     1.         0.95333333
 0.90333333 1.         1.         0.728125  ]","[0.95555556 1.         1.         1.         1.         0.95333333
 1.         1.         1.         0.95357143]","[1.         1.         1.         1.         1.         0.95333333
 1.         1.         1.         0.95357143]",[1.   1.   1.   1.   1.   1.   1.   1.   1.   0.95],"[0.95238095 1.         1.         1.         1.         0.95
 1.         0.95       0.95       0.95      ]","[0.95238095 0.9047619  1.         0.9        1.         0.95
 0.95       1.         1.         0.85      ]","[0.95238095 1.         1.         1.         1.         0.95
 1.         1.         1.         0.95      ]",[1.   1.   1.   1.   1.   0.95 1.   1.   1.   0.95],"[1.         1.         1.         1.         1.         1.
 1.         1.         1.         0.94259259]","[0.94526546 1.         1.         1.         1.         0.94252874
 1.         0.92586207 0.92586207 0.94259259]","[0.94526546 0.87619048 1.         0.88666667 1.         0.94252874
 0.92586207 1.         1.         0.78275862]","[0.94526546 1.         1.         1.         1.         0.94252874
 1.         1.         1.         0.94259259]","[1.         1.         1.         1.         1.         0.94252874
 1.         1.         1.         0.94259259]","[1.         1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]","[1.         1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]","[0.99795918 1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]","[1.         1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]","[1.         1.                nan        nan        nan        nan
 1.         1.         1.         0.99224664]","[1.        1.        1.        1.        1.        1.        1.
 1.        1.        0.9093111]","[0.91028099 1.         1.         1.         1.         0.89622143
 1.         0.8971622  0.8971622  0.9093111 ]","[0.91028099 0.81655157 1.         0.7863571  1.         0.89622143
 0.8971622  1.         1.         0.72015169]","[0.91028099 1.         1.         1.         1.         0.89622143
 1.         1.         1.         0.9093111 ]","[1.         1.         1.         1.         1.         0.89622143
 1.         1.         1.         0.9093111 ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95238095 1.         1.         1.
 1.         0.95       1.         1.        ]","[1.         1.         0.95238095 1.         0.95       1.
 0.95       1.         0.9        0.95      ]",[1.   1.   1.   1.   1.   1.   0.95 1.   1.   0.95],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.91666667 1.         1.         1.
 1.         0.8        1.         1.        ]","[1.         1.         0.91666667 1.         0.98214286 1.
 0.8        1.         0.7        0.9       ]",[1.  1.  1.  1.  1.  1.  0.8 1.  1.  0.9],[1.  1.  1.  1.  1.  1.  0.8 1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95555556 1.         1.         1.
 1.         0.91666667 1.         1.        ]","[1.         1.         0.95555556 1.         0.96666667 1.
 0.90333333 1.         0.8625     0.95357143]","[1.         1.         1.         1.         1.         1.
 0.90333333 1.         1.         0.95357143]","[1.         1.         1.         1.         1.         1.
 0.90333333 1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95238095 1.         1.         1.
 1.         0.95       1.         1.        ]","[1.         1.         0.95238095 1.         0.95       1.
 0.95       1.         0.9        0.95      ]",[1.   1.   1.   1.   1.   1.   0.95 1.   1.   0.95],[1.   1.   1.   1.   1.   1.   0.95 1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.94844007 1.         1.         1.
 1.         0.93       1.         1.        ]","[1.         1.         0.94844007 1.         0.95407407 1.
 0.92586207 1.         0.87       0.94259259]","[1.         1.         1.         1.         1.         1.
 0.92586207 1.         1.         0.94259259]","[1.         1.         1.         1.         1.         1.
 0.92586207 1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.90881098 1.         1.         1.
 1.         0.90109056 1.         1.        ]","[1.         1.         0.90881098 1.         0.90773759 1.
 0.8971622  1.         0.78840488 0.9093111 ]","[1.        1.        1.        1.        1.        1.        0.8971622
 1.        1.        0.9093111]","[1.        1.        1.        1.        1.        1.        0.8971622
 1.        1.        1.       ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.        1.        0.9047619 1.        1.        1.        0.95
 1.        1.        0.95     ]","[0.95238095 1.         0.95238095 1.         0.9        1.
 0.9        0.95       0.95       1.        ]","[0.95238095 1.         0.95238095 1.         1.         1.
 1.         1.         1.         1.        ]","[0.95238095 1.         0.95238095 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.83333333 1.         1.         1.
 0.9        1.         1.         0.8       ]","[0.9        1.         0.91666667 1.         0.75       1.
 0.7        0.98571429 0.8        1.        ]","[0.9        1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]","[0.9        1.         0.91666667 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.91666667 1.         1.         1.
 0.95333333 1.         1.         0.90357143]","[0.95555556 1.         0.95555556 1.         0.9125     1.
 0.8625     0.975      0.90333333 1.        ]","[0.95555556 1.         0.95555556 1.         1.         1.
 1.         1.         1.         1.        ]","[0.95555556 1.         0.95555556 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.        1.        0.9047619 1.        1.        1.        0.95
 1.        1.        0.95     ]","[0.95238095 1.         0.95238095 1.         0.9        1.
 0.9        0.95       0.95       1.        ]","[0.95238095 1.         0.95238095 1.         1.         1.
 1.         1.         1.         1.        ]","[0.95238095 1.         0.95238095 1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.88412698 1.         1.         1.
 0.94252874 1.         1.         0.92592593]","[0.94526546 1.         0.94844007 1.         0.88666667 1.
 0.87       0.95740741 0.92586207 1.        ]","[0.94526546 1.         0.94844007 1.         1.         1.
 1.         1.         1.         1.        ]","[0.94526546 1.         0.94844007 1.         1.         1.
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],"[1.        1.              nan       nan       nan       nan 1.
 0.9952381 1.        1.       ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.81869114 1.         1.         1.
 0.89734513 1.         1.         0.90914694]","[0.91028099 1.         0.90881098 1.         0.7863571  1.
 0.78840488 0.9093111  0.8971622  1.        ]","[0.91028099 1.         0.90881098 1.         1.         1.
 1.         1.         1.         1.        ]","[0.91028099 1.         0.90881098 1.         1.         1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   0.95 1.   1.   1.   1.   0.95 1.  ],"[1.         1.         0.95238095 0.95       0.95       0.95
 0.95       0.95       0.95       0.95      ]",[1.   1.   1.   1.   1.   0.95 1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   0.95 1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.    1.    1.    0.875 1.    1.    1.    1.    0.8   1.   ],"[1.         1.         0.91666667 0.875      0.875      0.875
 0.8        0.8        0.9        0.9       ]",[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1.    1.    1.    1.    1.    0.875 1.    1.    1.    1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.95333333 1.         1.
 1.         1.         0.90333333 1.        ]","[1.         1.         0.95555556 0.95333333 0.95333333 0.95333333
 0.90333333 0.90333333 0.95333333 0.95357143]","[1.         1.         1.         1.         1.         0.95333333
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.95333333
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1.   1.   1.   0.95 1.   1.   1.   1.   0.95 1.  ],"[1.         1.         0.95238095 0.95       0.95       0.95
 0.95       0.95       0.95       0.95      ]",[1.   1.   1.   1.   1.   0.95 1.   1.   1.   1.  ],[1.   1.   1.   1.   1.   0.95 1.   1.   1.   1.  ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.94252874 1.         1.
 1.         1.         0.92586207 1.        ]","[1.         1.         0.94844007 0.94252874 0.94252874 0.94252874
 0.92586207 0.92586207 0.94252874 0.94259259]","[1.         1.         1.         1.         1.         0.94252874
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.94252874
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         1.         0.89622143 1.         1.
 1.         1.         0.8971622  1.        ]","[1.         1.         0.90881098 0.89622143 0.89622143 0.89622143
 0.8971622  0.8971622  0.89734513 0.9093111 ]","[1.         1.         1.         1.         1.         0.89622143
 1.         1.         1.         1.        ]","[1.         1.         1.         1.         1.         0.89622143
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95238095 1.         1.         1.
 1.         1.         1.         0.95      ]","[0.9047619  0.95238095 0.95238095 1.         0.95       1.
 1.         1.         0.95       0.95      ]","[1.         1.         0.95238095 1.         0.95       1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.91666667 1.         1.         1.
 1.         1.         1.         0.8       ]","[0.8        0.9        0.91666667 1.         0.875      1.
 1.         1.         0.8        0.9       ]","[1.         1.         0.91666667 1.         0.875      1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95555556 1.         1.         1.
 1.         1.         1.         0.90357143]","[0.91666667 0.95555556 0.95555556 1.         0.95333333 1.
 1.         1.         0.90333333 0.95357143]","[1.         1.         0.95555556 1.         0.95333333 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.95238095 1.         1.         1.
 1.         1.         1.         0.95      ]","[0.9047619  0.95238095 0.95238095 1.         0.95       1.
 1.         1.         0.95       0.95      ]","[1.         1.         0.95238095 1.         0.95       1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.94844007 1.         1.         1.
 1.         1.         1.         0.92592593]","[0.89206349 0.94526546 0.94844007 1.         0.94252874 1.
 1.         1.         0.92586207 0.94259259]","[1.         1.         0.94844007 1.         0.94252874 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[1.         1.         0.90881098 1.         1.         1.
 1.         1.         1.         0.90914694]","[0.81687216 0.91028099 0.90881098 1.         0.89622143 1.
 1.         1.         0.8971622  0.9093111 ]","[1.         1.         0.90881098 1.         0.89622143 1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.9047619 1.        1.        1.        0.95      1.        1.
 1.        1.        1.       ]","[0.9047619 1.        1.        0.9       0.95      1.        0.95
 0.95      0.95      1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.7   1.    1.    1.    0.875 1.    1.    1.    1.    1.   ],[0.8   1.    1.    0.75  0.875 1.    0.8   0.8   0.8   1.   ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.9 1.  1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.86904762 1.         1.         1.         0.95333333 1.
 1.         1.         1.         1.        ]","[0.91666667 1.         1.         0.9125     0.95333333 1.
 0.90333333 0.90333333 0.90333333 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95555556 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.9047619 1.        1.        1.        0.95      1.        1.
 1.        1.        1.       ]","[0.9047619 1.        1.        0.9       0.95      1.        0.95
 0.95      0.95      1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.87619048 1.         1.         1.         0.94252874 1.
 1.         1.         1.         1.        ]","[0.89206349 1.         1.         0.88666667 0.94252874 1.
 0.92586207 0.92586207 0.92586207 1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.94526546 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],"[0.99591837 1.                nan        nan        nan        nan
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.81655157 1.         1.         1.         0.89622143 1.
 1.         1.         1.         1.        ]","[0.81687216 1.         1.         0.7863571  0.89622143 1.
 0.8971622  0.8971622  0.8971622  1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.91028099 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]"
[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 0.95238095 1.         0.95       1.         1.
 1.         1.         1.         1.        ]","[1.        0.9047619 1.        0.95      1.        1.        1.
 0.95      0.95      0.95     ]","[1.        0.9047619 1.        1.        1.        1.        1.
 1.        1.        1.       ]","[1.        0.9047619 1.        1.        1.        1.        1.
 1.        1.        1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],[0.8   0.9   1.    0.875 1.    1.    1.    1.    1.    1.   ],[1.    0.8   1.    0.875 1.    1.    1.    0.8   0.8   0.9  ],[1.  0.8 1.  1.  1.  1.  1.  1.  1.  1. ],[1.  0.8 1.  1.  1.  1.  1.  1.  1.  1. ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.90793651 0.95555556 1.         0.95333333 1.         1.
 1.         1.         1.         1.        ]","[1.         0.91666667 1.         0.95333333 1.         1.
 1.         0.90333333 0.90333333 0.95357143]","[1.         0.91666667 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.91666667 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.95238095 0.95238095 1.         0.95       1.         1.
 1.         1.         1.         1.        ]","[1.        0.9047619 1.        0.95      1.        1.        1.
 0.95      0.95      0.95     ]","[1.        0.9047619 1.        1.        1.        1.        1.
 1.        1.        1.       ]","[1.        0.9047619 1.        1.        1.        1.        1.
 1.        1.        1.       ]",[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.92939245 0.94526546 1.         0.94252874 1.         1.
 1.         1.         1.         1.        ]","[1.         0.89206349 1.         0.94252874 1.         1.
 1.         0.92586207 0.92586207 0.94259259]","[1.         0.89206349 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.89206349 1.         1.         1.         1.
 1.         1.         1.         1.        ]",[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[ 1.  1. nan nan nan nan  1.  1.  1.  1.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[0.91013563 0.91028099 1.         0.89622143 1.         1.
 1.         1.         1.         1.        ]","[1.         0.81687216 1.         0.89622143 1.         1.
 1.         0.8971622  0.8971622  0.9093111 ]","[1.         0.81687216 1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.81687216 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
